text,event_type
"Dust storm reported in Hebbal, air quality has worsened significantly.",dust_storm
Sharp flashes of lightning visible over the bus stand junction for the last half hour.,lightning
A cultural festival is being organized in the coastal village this weekend.,other
"Thick dust clouds moving through the old town, people covering their faces.",dust_storm
Powerful gusts uprooted a few trees near Koramangala this evening.,strong_wind
Heavy showers reported across the riverside colony starting around noon with no sign of stopping.,heavy_rainfall
Water has entered ground floor houses in Hebbal after the rains.,flood
Very strong winds knocked down a tree on the street in MG Road area.,strong_wind
The cyclone is expected to make landfall by tonight near Indiranagar.,cyclone
"A wall of dust swept through the bus stand junction for the past two hours, shops shut their doors.",dust_storm
Powerful gusts uprooted a few trees near the airport road this evening.,strong_wind
"Streets in Jayanagar are completely waterlogged and vehicles are stuck, this morning.",flood
"Streets in the low-lying colony are completely waterlogged and vehicles are stuck, just now.",flood
"It's a pleasant sunny day today, nice weather for a walk.",other
The cyclone is expected to make landfall by tonight near the industrial area.,cyclone
"Torrential rain lashing Yelahanka this morning, people advised to stay indoors.",heavy_rainfall
"Flood water is rising rapidly near the airport road, residents are moving to higher ground.",flood
Sudden lightning and thunder started around evening near the industrial area.,thunderstorm
Strong winds have damaged tin roofs near the outskirts of the city a few hours ago.,strong_wind
Loud thunderclaps and flashes of lightning reported over the old town.,thunderstorm
"The heat in the bus stand junction is unbearable a few hours ago, roads look almost empty.",heatwave
Farmers near the district headquarters report crop damage due to unexpected hailstorm.,hailstorm
Thunderstorm with gusty winds lashing the coastal village starting around noon.,thunderstorm
The school near MG Road area announced holidays for an exam schedule.,other
"Hailstones the size of marbles are falling in near the highway, damaging car windshields.",hailstorm
"A lightning bolt hit a building near the airport road, minor damage reported.",lightning
"A thunderstorm hit the hill station town since early morning, strong winds and rain together.",thunderstorm
"Hailstones the size of marbles are falling in the bus stand junction, damaging car windshields.",hailstorm
Several homes in the low-lying colony are flooded after the canal overflowed for the past two hours.,flood
"Dense morning fog reported around MG Road area, flights and trains delayed.",fog
"Fog has covered the old town completely since last night, traffic moving very slowly.",fog
Thunderstorm with gusty winds lashing Indiranagar since this afternoon.,thunderstorm
Farmers near the airport road report crop damage due to unexpected hailstorm.,hailstorm
Strong winds have damaged tin roofs near MG Road area late last night.,strong_wind
